NR.1,Vulnerable Smart Contract ,Vulnerability/Bug,Analyzed,Bytecode/Solidity,Transaction Reordering,,Recrusive Calls,,,Insecure Coding Patterns,,,,Unexpected Ether Flows,Use of untrusted inputs in Security Operations,Additional Info,
,,,,,Transactions may affect Ether Receiver,Transactions May Affects Ether Amount,Gas-dependent Reentrancy,Reentrancy with constant gas,Reentrancy method call,Unchecked Transaction Data Length,Unhandled Exception,Use of Origin instruction,Missing Input Validation,Locked Ether,Use of untrusted Inputs,,
1,SimpleDao Sample compiler version 0.3.1,"Re-entrancy, call to the unkown",Yes,Bytecode,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
,,,Yes,Solidity,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
2,SimpleDao Sample compiler version 0.4.2,"Re-entrancy, call to the unkown",Yes,Bytecode,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
,,,Yes,Solidity,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
3,King of the Ether game (KoET),"Unchecked-send bug, Gasless send, Mishandled exception",No ,Bytecode,,,,,,,,,,,,Failed Loading,
,,,Yes - Modified ,Solidity,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,Yes / Blocktime stamp,,
4,KotET Sample compiler version 0.3.1,Gasless send,No ,Bytecode,,,,,,,,,,,,Failed loading,
,,,Yes,Solidity,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
5,KotET Sample compiler version 0.4.2,Gasless send,Yes,Bytecode,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
,,,Yes,Solidity,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
6,GovernMental (PonziGovernmental),"Unchecked-send bug, Call-stack limit",No ,Bytecode,,,,,,,,,,,,Failed loading,
,,,No ,Solidity,,,,,,,,,,,,Failed loading,
7,GovernMental simplified sample 0.3.1,"Immutable bugs, exception disorder, call-stack limit, unpredictable state ",Yes,Bytecode,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
,,,Yes,Solidity,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
8,Rubixi ,"Immutable bugs, wrong constructor name",Yes,Bytecode,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
,,,Yes - Modified ,Solidity,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
9,FirePonzi,Type casts (intentional scam),Yes,Bytecode,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
,,,Yes,Solidity,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
10,Parity Multisig,Unintended function exposure,No ,Bytecode,,,,,,,,,,,,Failed loading,
,,,No ,Solidity,,,,,,,,,,,,Compiler error,
11,GoodFellas,Typo (wrong constructor name),Yes,Bytecode,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
,,,Yes - Modified ,Solidity,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
12,StackyGame,Typo (wrong constructor name),Yes,Bytecode,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
,,,Yes - Modified ,Solidity,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
13,DynamicPyramid,Contract that do not refund,Yes,Bytecode,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
,,,Yes - Modified ,Solidity,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
14,GreedPit,Contract that do not refund,No ,Bytecode,,,,,,,,,,,,Failed Loading,
,,,Yes - Modified ,Solidity,Yes,Yes,Locked,Locked,Locked,Locked,Stuck loading,Stuck loading,Locked,Locked,Yes / Block number,,
15,NanoPyramid,Contract that do not refund,Yes,Bytecode,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
,,,Yes - Modified ,Solidity,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
16,Tomeka,Contract that do not refund,Yes,Bytecode,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
,,,Yes - Modified ,Solidity,Yes,Yes,Locked,Locked,Locked,Locked,Yes,No,Locked,Locked,No,,
17,ProtectTheCastle,"Call-stack limit, Withdraw option",Yes,Bytecode,Yes,Yes,Locked,Locked,Locked,Locked,Analysis timeout,No,Locked,Locked,No,,
,,,Yes - Modified ,Solidity,Yes,Yes,Locked,Locked,Locked,Locked,Analysis timeout,No,Locked,Locked,No,,
18,RockPaperScissors (RPS),Public moves,No ,Bytecode,,,,,,,,,,,,Failed loading,
